               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 133,            0.025403,            0.044135,            0.032159,              0.9021,             0.84045,               0.862,             0.58402,            0.022739,            0.047947,            0.032118,           0.0003466,           0.0003466,           0.0003466
                 134,            0.025425,            0.044235,            0.032182,              0.9058,             0.84024,             0.86204,             0.58377,            0.022713,            0.048239,            0.032121,          0.00034165,          0.00034165,          0.00034165
                 135,            0.025751,              0.0438,            0.032184,             0.90442,             0.84342,              0.8608,             0.58264,            0.022571,            0.048096,             0.03211,           0.0003367,           0.0003367,           0.0003367
                 136,            0.025332,            0.044369,            0.032166,             0.90585,             0.84002,              0.8605,             0.58224,            0.022578,            0.048036,            0.032111,          0.00033175,          0.00033175,          0.00033175
                 137,            0.025477,            0.044524,            0.032179,             0.90523,             0.84184,             0.86369,             0.58319,            0.022572,             0.04789,             0.03211,           0.0003268,           0.0003268,           0.0003268
                 138,            0.025879,            0.045115,            0.032162,             0.89889,             0.84482,             0.86232,             0.58385,            0.022628,            0.047634,            0.032113,          0.00032185,          0.00032185,          0.00032185
                 139,            0.025509,            0.044085,            0.032155,             0.90821,             0.83962,             0.86446,             0.58701,            0.022617,            0.047543,            0.032101,           0.0003169,           0.0003169,           0.0003169
                 140,            0.025228,            0.044447,            0.032157,             0.90805,             0.83364,             0.85678,             0.58451,            0.022538,            0.047724,            0.032111,          0.00031195,          0.00031195,          0.00031195
                 141,            0.025465,            0.044138,            0.032185,             0.90124,             0.84072,             0.86155,             0.58498,            0.022449,            0.047723,            0.032104,            0.000307,            0.000307,            0.000307
                 142,            0.025162,             0.04401,            0.032155,             0.91048,             0.84223,             0.86428,             0.58793,             0.02245,            0.047599,            0.032109,          0.00030205,          0.00030205,          0.00030205
                 143,            0.024938,            0.043723,            0.032154,              0.9115,             0.84237,             0.86643,             0.58669,            0.022502,            0.047556,            0.032114,           0.0002971,           0.0002971,           0.0002971
                 144,            0.024976,            0.043836,            0.032162,             0.91393,             0.83864,              0.8639,             0.58726,            0.022463,            0.047737,            0.032115,          0.00029215,          0.00029215,          0.00029215
